Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,50,R1d_1,0.23,0.266798,0.013389,0.001353,0.036798,16.0,0.039135,0.8571,1.0,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,R1d_2,0.21,0.247543,0.014356,0.00145,0.037543,17.88,0.040168,0.8673,1.0,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,R1d_3,0.16,0.187971,0.005787,0.000585,0.027971,17.48,0.028558,1.0,1.0,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,R1d_4,0.61,0.630485,0.014102,0.001425,0.020485,3.36,0.024829,0.9694,1.0,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,R2d_1,0.82,0.985896,0.511083,0.051627,0.165896,20.23,0.534847,0.9897,0.0103,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,R2d_2,0.73,0.923839,1.555768,0.157156,0.193839,26.55,1.559901,0.9896,0.0104,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,gamma2,-1.17,-0.93681,5.729417,0.578759,0.23319,19.93,5.704878,0.7326,0.1047,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,gamma3_1,0.26,-19.184969,145.450401,14.692709,-19.444969,-7478.83,146.007021,0.8588,0.1647,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,gamma3_2,-0.83,-10.850069,25.85934,2.612188,-10.020069,-1207.24,27.609486,0.8588,0.1412,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,gamma4_1,-0.74,-5.331118,58.874168,5.947189,-4.591118,-620.42,58.752676,0.8706,0.1059,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
