Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,50,50,B32d_2,0.69,0.953659,0.066843,0.006718,0.263659,38.21,0.271918,0.101,0.9293,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B41d_1,0.11,0.024317,0.135261,0.013594,-0.085683,-77.89,0.159538,0.2551,0.4184,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B41d_2,-0.3,-0.035669,0.180476,0.018139,0.264331,88.11,0.319552,0.0707,0.2323,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B42d_1,0.57,0.140509,0.161066,0.016188,-0.429491,-75.35,0.458413,0.1313,0.6364,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B42d_2,0.01,0.008492,0.041896,0.004211,-0.001508,-15.08,0.041711,0.8889,0.1313,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,Q1d_1,0.08,0.035003,0.017378,0.001747,-0.044997,-56.25,0.048204,1.0,0.0,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,Q1d_2,0.05,0.023918,0.005741,0.000577,-0.026082,-52.16,0.0267,1.0,0.0,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,R1d_1,0.23,0.266658,0.016648,0.001673,0.036658,15.94,0.040226,1.0,1.0,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,R1d_2,0.21,0.247122,0.012644,0.001271,0.037122,17.68,0.039196,1.0,1.0,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,R1d_3,0.16,0.188321,0.007674,0.000771,0.028321,17.7,0.029332,1.0,0.9899,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,R1d_4,0.61,0.631389,0.019907,0.002001,0.021389,3.51,0.029151,1.0,1.0,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,R2d_1,0.82,1.735735,3.032078,0.304735,0.915735,111.67,3.152651,1.0,0.0222,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,R2d_2,0.73,0.99578,1.828564,0.183778,0.26578,36.41,1.838617,1.0,0.0215,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,gamma2,-1.17,-2.670135,14.355123,1.442744,-1.500135,-128.22,14.361005,0.9794,0.0206,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,gamma3_1,0.26,-28.25415,143.50443,14.422738,-28.51415,-10966.98,145.597263,0.9896,0.0104,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
