Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,B12_2,0.22,0.26808,0.066967,0.00673,0.04808,21.85,0.082164,,,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,P2,0.2,0.659029,0.111029,0.011159,0.459029,229.51,0.472134,,,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,LogLikelihood,,-3.7054,0.0273,,,,,,,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,50,gamma1,3.5,3.705711,0.18166,0.018258,0.205711,5.88,0.273833,0.7879,1.0,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B11_1,-0.05,-0.051566,0.056898,0.005718,-0.001566,-3.13,0.056631,0.9798,0.1111,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B11_2,-0.06,-0.026182,0.045874,0.004611,0.033818,56.36,0.056805,0.9394,0.0707,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B21_1,-0.87,-0.259548,0.07401,0.007438,0.610452,70.17,0.614877,0.0,0.8384,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B21_2,-0.77,-0.228152,0.064586,0.006491,0.541848,70.37,0.545645,0.0,0.9091,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B22_1,-0.92,-0.350324,0.087758,0.00882,0.569676,61.92,0.576328,0.0,0.9697,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B22_2,-0.45,-0.164613,0.060897,0.00612,0.285387,63.42,0.291747,0.0303,0.5758,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B31d_1,0.33,0.366527,0.06489,0.006522,0.036527,11.07,0.074179,0.7273,1.0,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B31d_2,0.15,0.234572,0.071601,0.007196,0.084572,56.38,0.110577,0.6566,0.9596,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B32d_1,0.31,0.412749,0.091709,0.009217,0.102749,33.14,0.137415,0.404,1.0,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B32d_2,0.69,0.698582,0.023398,0.002352,0.008582,1.24,0.024811,0.9293,1.0,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B41d_1,0.11,0.07117,0.066201,0.006653,-0.03883,-35.3,0.07646,0.6364,0.4646,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B41d_2,-0.3,-0.073731,0.08074,0.008115,0.226269,75.42,0.240106,0.0505,0.3737,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B42d_1,0.57,0.264479,0.098448,0.009894,-0.305521,-53.6,0.320838,0.0202,1.0,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,B42d_2,0.01,0.006231,0.030026,0.003018,-0.003769,-37.69,0.030111,0.8889,0.1111,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
two_stage,100,50,Q1d_1,0.08,0.085081,0.005117,0.000514,0.005081,6.35,0.007192,1.0,0.0,99,-3.6464,0.5026,0.5274,0.8776,0.8075,0.935,0.9141,0.8561,0.4554,0.5491,0.9061,0.9021,0.9162,0.9688,0.9336,0.739,0.739
