Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,50,gamma4_1,-0.74,0.0,0.0,0.0,0.74,100.0,0.74,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,gamma4_2,-0.19,0.0,0.0,0.0,0.19,100.0,0.19,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,P2,0.2,0.656265,0.122006,0.012262,0.456265,228.13,0.472136,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,LogLikelihood,,-3.6475,0.023,,,,,,,99,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,100,50,ConvergenceRate,,0.99,,,,,,,,100,-3.6475,0.5026,0.5274,0.8755,0.8059,0.9323,0.9105,0.8537,0.4554,0.5491,0.9052,0.9033,0.9081,0.9661,0.9331,0.739,0.739
two_stage,50,25,gamma1,3.5,3.584224,0.369856,0.037172,0.084224,2.41,0.377499,0.9697,1.0,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B11_1,-0.05,-0.051959,0.072462,0.007283,-0.001959,-3.92,0.072122,1.0,0.0101,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B11_2,-0.06,-0.032603,0.070719,0.007108,0.027397,45.66,0.075507,0.9899,0.0202,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B21_1,-0.87,-0.250267,0.092236,0.00927,0.619733,71.23,0.62649,0.0303,0.2828,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B21_2,-0.77,-0.229703,0.090542,0.0091,0.540297,70.17,0.547755,0.0707,0.2222,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B22_1,-0.92,-0.340588,0.149176,0.014993,0.579412,62.98,0.59812,0.2626,0.3434,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B22_2,-0.45,-0.182834,0.105691,0.010622,0.267166,59.37,0.287116,0.7677,0.0303,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B31d_1,0.33,0.348411,0.095731,0.009621,0.018411,5.58,0.097009,0.9596,0.8889,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B31d_2,0.15,0.163164,0.119701,0.01203,0.013164,8.78,0.11982,0.9798,0.101,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B32d_1,0.31,0.38695,0.131848,0.013251,0.07695,24.82,0.152084,0.8485,0.7879,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B32d_2,0.69,0.674679,0.057238,0.005753,-0.015321,-2.22,0.058973,0.9798,1.0,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B41d_1,0.11,0.047829,0.080881,0.008129,-0.062171,-56.52,0.10169,0.9899,0.0404,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B41d_2,-0.3,-0.077593,0.117938,0.011853,0.222407,74.14,0.251464,0.7273,0.0505,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B42d_1,0.57,0.230411,0.150065,0.015082,-0.339589,-59.58,0.370962,0.3535,0.3737,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,B42d_2,0.01,0.014426,0.066309,0.006664,0.004426,44.26,0.066121,0.9899,0.0,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,Q1d_1,0.08,0.086516,0.010335,0.001039,0.006516,8.14,0.012173,1.0,0.0,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,Q1d_2,0.05,0.052068,0.00942,0.000947,0.002068,4.14,0.009598,1.0,0.0,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
two_stage,50,25,R1d_1,0.23,0.230324,0.012492,0.001256,0.000324,0.14,0.012433,1.0,1.0,99,-3.6995,0.5064,0.5418,0.8546,0.7003,0.9175,0.7953,0.7373,0.2956,0.7044,0.8621,0.8519,0.867,0.8972,0.8696,0.554,0.569
