Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,50,B12_2,0.22,0.096943,0.143982,0.014695,-0.123057,-55.94,0.188833,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,gamma3_1,0.26,0.0,0.0,0.0,-0.26,-100.0,0.26,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,gamma3_2,-0.83,0.0,0.0,0.0,0.83,100.0,0.83,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,gamma4_1,-0.74,0.0,0.0,0.0,0.74,100.0,0.74,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,gamma4_2,-0.19,0.0,0.0,0.0,0.19,100.0,0.19,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,P12,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,Q2d_1,0.16,0.061434,0.111764,0.011407,-0.098566,-61.6,0.148581,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,Q2d_2,0.12,0.040676,0.078836,0.008046,-0.079324,-66.1,0.111546,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,P2,0.2,0.653212,0.120027,0.01225,0.453212,226.61,0.468676,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,LogLikelihood,,-3.6894,0.0387,,,,,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,ConvergenceRate,,0.96,,,,,,,,100,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,50,25,gamma1,1.48,-8.87683,14.990136,1.506565,-10.35683,-699.79,18.157598,0.7468,0.4177,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B11_1,-0.05,0.028235,0.076131,0.007651,0.078235,156.47,0.108895,0.0909,0.6667,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B11_2,-0.06,0.024303,0.061245,0.006155,0.084303,140.51,0.104019,0.1818,0.6768,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B21_1,-0.87,-0.079789,0.127753,0.01284,0.790211,90.83,0.800368,0.0606,0.5354,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B21_2,-0.77,-0.08475,0.158498,0.01593,0.68525,88.99,0.703161,0.1313,0.3333,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B22_1,-0.92,-0.272138,0.469429,0.047179,0.647862,70.42,0.798663,0.1919,0.6465,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B22_2,-0.45,-0.120555,0.223118,0.022424,0.329445,73.21,0.397257,0.1717,0.4646,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B31d_1,0.33,0.789224,0.492128,0.049461,0.459224,139.16,0.67129,0.0808,0.9394,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B31d_2,0.15,0.665422,0.691342,0.069482,0.515422,343.61,0.859526,0.1212,0.8687,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B32d_1,0.31,0.755094,0.252366,0.025364,0.445094,143.58,0.511033,0.2121,0.8081,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B32d_2,0.69,0.927588,0.130632,0.013129,0.237588,34.43,0.270814,0.1818,0.8889,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B41d_1,0.11,0.039344,0.205211,0.020624,-0.070656,-64.23,0.216052,0.5758,0.303,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B41d_2,-0.3,-0.045645,0.262462,0.026378,0.254355,84.79,0.364537,0.303,0.1111,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B42d_1,0.57,0.176087,0.180466,0.018137,-0.393913,-69.11,0.432904,0.2222,0.6869,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B42d_2,0.01,0.010024,0.052406,0.005267,2.4e-05,0.24,0.05214,0.9495,0.0909,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,Q1d_1,0.08,0.041567,0.018648,0.001874,-0.038433,-48.04,0.042677,1.0,0.0,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,Q1d_2,0.05,0.042168,0.009933,0.000998,-0.007832,-15.66,0.012609,1.0,0.0,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,R1d_1,0.23,0.264587,0.01826,0.001835,0.034587,15.04,0.039068,1.0,1.0,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,R1d_2,0.21,0.244644,0.018041,0.001813,0.034644,16.5,0.039018,1.0,1.0,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,R1d_3,0.16,0.176266,0.010879,0.001093,0.016266,10.17,0.019538,1.0,0.8283,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,R1d_4,0.61,0.623276,0.024208,0.002433,0.013276,2.18,0.027502,1.0,1.0,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,R2d_1,0.82,1.949063,3.314318,0.333102,1.129063,137.69,3.485474,1.0,0.0,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,R2d_2,0.73,1.115549,2.041018,0.20513,0.385549,52.81,2.06696,0.9888,0.0112,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,gamma2,-1.17,-1.336553,11.096292,1.115219,-0.166553,-14.24,11.041364,0.8987,0.0633,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B12_1,0.45,0.192655,0.196146,0.019713,-0.257345,-57.19,0.322972,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,B12_2,0.22,0.125661,0.162409,0.016323,-0.094339,-42.88,0.18711,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,gamma3_1,0.26,0.0,0.0,0.0,-0.26,-100.0,0.26,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,gamma3_2,-0.83,0.0,0.0,0.0,0.83,100.0,0.83,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,gamma4_1,-0.74,0.0,0.0,0.0,0.74,100.0,0.74,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,gamma4_2,-0.19,0.0,0.0,0.0,0.19,100.0,0.19,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,Q2d_1,0.16,0.042194,0.042539,0.004275,-0.117806,-73.63,0.125178,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,Q2d_2,0.12,0.053616,0.032737,0.00329,-0.066384,-55.32,0.073943,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,P2,0.2,0.72074,0.215805,0.021689,0.52074,260.37,0.563269,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,LogLikelihood,,-3.7472,0.0395,,,,,,,99,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7472,0.6473,0.7248,0.3779,0.8497,0.6998,0.7454,0.7556,0.2976,0.9836,0.7956
two_stage,50,50,gamma1,1.48,-6.421043,15.583878,1.574209,-7.901043,-533.85,17.401311,0.5663,0.5663,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
