Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,50,B32d_1,0.31,0.719213,0.24118,0.024488,0.409213,132.0,0.474367,0.1031,0.9588,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B32d_2,0.69,0.962627,0.036998,0.003757,0.272627,39.51,0.275101,0.0103,0.9897,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B41d_1,0.11,-0.02669,0.561415,0.057003,-0.13669,-124.26,0.574997,0.2812,0.6354,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B41d_2,-0.3,-0.060282,0.373968,0.037971,0.239718,79.91,0.442578,0.1562,0.2396,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B42d_1,0.57,0.198342,0.170459,0.017308,-0.371658,-65.2,0.408518,0.0619,0.9794,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B42d_2,0.01,0.008239,0.018121,0.00184,-0.001761,-17.61,0.018114,0.5876,0.3093,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,Q1d_1,0.08,0.042477,0.020106,0.002042,-0.037523,-46.9,0.042522,0.9794,0.0412,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,Q1d_2,0.05,0.031769,0.005044,0.000512,-0.018231,-36.46,0.018909,1.0,0.0,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,R1d_1,0.23,0.262321,0.015574,0.001581,0.032321,14.05,0.035843,0.8763,1.0,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,R1d_2,0.21,0.243044,0.016269,0.001652,0.033044,15.74,0.036795,0.9072,1.0,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,R1d_3,0.16,0.180058,0.005636,0.000572,0.020058,12.54,0.020827,1.0,1.0,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,R1d_4,0.61,0.623392,0.014315,0.001453,0.013392,2.2,0.019549,0.9794,1.0,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,R2d_1,0.82,1.274229,1.95194,0.19819,0.454229,55.39,1.994271,0.9574,0.0532,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,R2d_2,0.73,0.800651,0.982384,0.099746,0.070651,9.68,0.979857,0.9574,0.0532,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,gamma2,-1.17,-0.160722,4.778906,0.485224,1.009278,86.26,4.860159,0.7059,0.2235,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,gamma3_1,0.26,-0.929648,31.394645,3.187643,-1.189648,-457.56,31.255046,0.8,0.2,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,gamma3_2,-0.83,-1.604782,13.938056,1.415195,-0.774782,-93.35,13.887653,0.8353,0.0941,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,gamma4_1,-0.74,-0.657305,30.973411,3.144873,0.082695,11.17,30.813452,0.8471,0.1412,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,gamma4_2,-0.19,-3.536276,12.554227,1.274689,-3.346276,-1761.2,12.929863,0.9412,0.0588,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B12_1,0.45,0.276774,0.408466,0.041473,-0.173226,-38.49,0.441737,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B12_2,0.22,0.067966,0.057796,0.005868,-0.152034,-69.11,0.162543,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,Q2d_1,0.16,0.143643,0.732253,0.074349,-0.016357,-10.22,0.728652,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,Q2d_2,0.12,0.047248,0.091425,0.009283,-0.072752,-60.63,0.11647,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,P2,0.2,0.650414,0.108472,0.011014,0.450414,225.21,0.46316,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,LogLikelihood,,-3.6861,0.0396,,,,,,,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,ConvergenceRate,,0.97,,,,,,,,100,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,50,25,gamma1,1.48,-2.744113,14.150949,1.422224,-4.224113,-285.41,14.699312,0.9474,0.0947,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B11_1,-0.05,0.041668,0.041771,0.004198,0.091668,183.34,0.100649,0.0808,0.6061,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B11_2,-0.06,0.035739,0.044407,0.004463,0.095739,159.56,0.105442,0.0808,0.8081,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B21_1,-0.87,-0.058256,0.085585,0.008602,0.811744,93.3,0.816198,0.0202,0.4747,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B21_2,-0.77,-0.045108,0.078781,0.007918,0.724892,94.14,0.729118,0.0606,0.4242,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
